"IDself","IDother","distance","age","gender","classNr","EigenvectorCentrality","friendsIn","stdFriendsIn","Betweenness"
10053,10015,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10073,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10083,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10053,0,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10019,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10046,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10099,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10075,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10079,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10087,2,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10085,1,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10081,2,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10026,2,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10053,10010,2,14,"male",100,0.600098176083993,13,1.16692147907258,0.185947712418301
10019,10070,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10063,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10042,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10035,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10088,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10015,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10073,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10083,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10053,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10019,0,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10046,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10099,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10075,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10079,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10087,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10085,2,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10081,3,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10026,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10019,10010,1,16,"male",100,0.632463388255181,10,0.324965475184768,0.144880174291939
10046,10070,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10063,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10042,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10035,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10088,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10015,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10073,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10083,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10053,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10019,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10046,0,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10099,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10075,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10079,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10087,1,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10085,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10081,3,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10026,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10046,10010,2,15,"female",100,0.440446808219556,10,0.324965475184768,0.0309368191721133
10099,10070,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10063,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10042,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10035,1,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10088,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10015,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10073,2,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10083,1,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10053,1,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
10099,10019,1,14,"female",100,0.403934200471558,8,-0.236338527407104,0.196078431372549
