"ID","participantNr","period","gender","nAnimals","estimate","socialInfo","estimate_revised","s","target","d_target","IOS","treatment","classR","otherNr","age","self_popularity","std_self_popularity","self_indegree","std_self_indegree","self_smart","std_self_smart","eigenCentralitySelf","BetweenesSelf","distance","friends_xy","popular_xy","smart_xy","other_p_indegree","std_other_p_indegree","other_p_popularity","std_other_p_popularity","other_p_smart","std_other_p_smart","eigenCentralityOther","BetweenesOther","perc_self_indegree","perc_self_popularity","perc_self_smart","perc_other_p_indegree","perc_other_p_popularity","perc_other_smart","friendANDnonFriend","diffPeers","heuristic","friend","norme1","norme2","error1","error2","percent_error1","percent_error2","improvement","improvementnorm","dist","improved","improved_factor","under","under_factor","under_e2","under_factor_e2","copy","stay"
92,10333,7,"female",50,48,58,48,0,57.6,0.400000000000006,5,0,103,10387,12,0,-0.914907381732214,5,0.75955452531275,9,-0.0187820338108936,1,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0,0.75,0.5,0.0833333333333333,1,0,0,1,1,0.96,0.96,2,2,4,4,0,0,10,-1,"worst",-1,"underestimate",-1,"underestimate",0,1
92,10333,8,"female",50,47,40,48,-0.142857142857143,56.4,16.4,5,0,103,10387,12,0,-0.914907381732214,5,0.75955452531275,9,-0.0187820338108936,1,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0,0.75,0.5,0.0833333333333333,1,0,0,2,1,0.94,0.96,3,2,6,4,1,0.02,7,-1,"worst",-1,"underestimate",-1,"underestimate",0,0
92,10333,9,"female",52,60,45,63,-0.2,48,3,5,0,103,10387,12,0,-0.914907381732214,5,0.75955452531275,9,-0.0187820338108936,1,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0,0.75,0.5,0.0833333333333333,1,0,0,2,1,1.15384615384615,1.21153846153846,8,11,15.3846153846154,21.1538461538462,-3,-0.0576923076923077,15,-1,"worst",1,"overestimate",1,"overestimate",0,0
92,10333,10,"female",58,47,53,47,0,56.4,3.4,5,0,103,10387,12,0,-0.914907381732214,5,0.75955452531275,9,-0.0187820338108936,1,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0,0.75,0.5,0.0833333333333333,1,0,0,1,1,0.810344827586207,0.810344827586207,11,11,18.9655172413793,18.9655172413793,0,0,6,-1,"worst",-1,"underestimate",-1,"underestimate",0,1
93,10315,1,"female",53,43,28,43,0,51.6,23.6,5,0,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,1,1,0.811320754716981,0.811320754716981,10,10,18.8679245283019,18.8679245283019,0,0,15,-1,"worst",-1,"underestimate",-1,"underestimate",0,1
93,10315,2,"female",50,45,33,39,0.5,54,21,5,0,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,2,1,0.9,0.78,5,11,10,22,-6,-0.12,12,-1,"worst",-1,"underestimate",-1,"underestimate",0,0
93,10315,3,"female",50,47,40,49,-0.285714285714286,56.4,16.4,5,0,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,2,1,0.94,0.98,3,1,6,2,2,0.04,7,-1,"worst",-1,"underestimate",-1,"underestimate",0,0
93,10315,4,"female",52,55,63,59,0.5,44,19,5,0,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,2,1,1.05769230769231,1.13461538461538,3,7,5.76923076923077,13.4615384615385,-4,-0.0769230769230769,8,-1,"worst",1,"overestimate",1,"overestimate",0,0
93,10315,5,"female",58,60,53,58,0.285714285714286,48,5,5,0,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,2,1,1.03448275862069,1,2,0,3.44827586206897,0,2,0.0344827586206897,7,-1,"worst",1,"overestimate",0,"correct",0,0
93,10315,6,"female",53,44,28,42,0.125,52.8,24.8,4,1,103,10387,13,1,-0.651290000555136,5,0.75955452531275,10,0.300512540974298,0.999999999999999,0,1,1,0,1,6,1.5191090506255,1,-0.651290000555136,12,0.939101690544682,1,0,0.416666666666667,0.0833333333333333,0.833333333333333,0.5,0.0833333333333333,1,0,0,2,1,0.830188679245283,0.792452830188679,9,11,16.9811320754717,20.7547169811321,-2,-0.0377358490566038,16,-1,"worst",-1,"underestimate",-1,"underestimate",0,0
