"ID","participantNr","gender","IOS","treatment","classR","otherNr","age","self_popularity","std_self_popularity","self_indegree","std_self_indegree","self_smart","std_self_smart","eigenCentralitySelf","BetweenesSelf","distance","friends_xy","popular_xy","smart_xy","other_p_indegree","std_other_p_indegree","other_p_popularity","std_other_p_popularity","other_p_smart","std_other_p_smart","eigenCentralityOther","BetweenesOther","perc_self_indegree","perc_self_popularity","perc_self_smart","perc_other_p_indegree","perc_other_p_popularity","other_smart","perc_other_smart","friendANDnonFriend","diffPeers","friend","non_na_count","mean_s"
107,10551,"female",6,0,105,10529,15,7,1.54185723628385,4,0.670820393249937,5,0.20835664138749,0.777686803518321,0,1,1,1,1,4,0.670820393249937,6,1.2089562420862,NA,-0.0961646037173031,0.942784918080025,0.00740740740740741,0.4,0.7,0.5,0.4,0.6,4,0.4,0,0,1,9,0.418826081326081
108,10559,"female",5,0,105,10533,15,0,-0.788449723099696,1,-1.34164078649987,2,-0.70520709392689,3.4025323729596e-17,0,0,1,0,0,2,-0.670820393249937,0,-0.788449723099696,NA,-0.70520709392689,1.34401297775004e-17,0,0.1,0,0.2,0.2,0,2,0.2,0,1,0,5,0.0181818181818182
108,10559,"female",6,1,105,10553,15,0,-0.788449723099696,1,-1.34164078649987,2,-0.70520709392689,3.4025323729596e-17,0,1,1,0,1,1,-1.34164078649987,0,-0.788449723099696,NA,1.42644162180666,3.99461012671687e-17,0,0.1,0,0.2,0.1,0,9,0.9,0,1,1,5,0.21155462184874
110,10557,"female",7,0,105,10529,15,5,0.876055247888552,4,0.670820393249937,3,-0.400685848822096,0.942784918080026,0.00740740740740741,1,1,1,1,4,0.670820393249937,6,1.2089562420862,NA,-0.0961646037173031,0.942784918080025,0.00740740740740741,0.4,0.5,0.3,0.4,0.6,4,0.4,0,0,1,10,0.358461538461538
110,10557,"female",7,1,105,10529,15,5,0.876055247888552,4,0.670820393249937,3,-0.400685848822096,0.942784918080026,0.00740740740740741,1,1,1,1,4,0.670820393249937,6,1.2089562420862,NA,-0.0961646037173031,0.942784918080025,0.00740740740740741,0.4,0.5,0.3,0.4,0.6,4,0.4,0,0,1,10,0.358461538461538
111,10533,"female",3,0,105,10553,14,0,-0.788449723099696,2,-0.670820393249937,2,-0.70520709392689,1.34401297775004e-17,0,0,0,0,1,1,-1.34164078649987,0,-0.788449723099696,NA,1.42644162180666,3.99461012671687e-17,0,0.2,0,0.2,0.1,0,9,0.9,0,1,0,5,0.584677419354839
112,10584,"female",1,0,105,10533,14,0,-0.788449723099696,2,-0.670820393249937,11,2.03548411201625,1.26211998526852e-17,0,0,0,0,1,2,-0.670820393249937,0,-0.788449723099696,NA,-0.70520709392689,1.34401297775004e-17,0,0.2,0,1.1,0.2,0,2,0.2,0,1,0,5,0
112,10584,"female",1,1,105,10553,14,0,-0.788449723099696,2,-0.670820393249937,11,2.03548411201625,1.26211998526852e-17,0,0,0,0,1,1,-1.34164078649987,0,-0.788449723099696,NA,1.42644162180666,3.99461012671687e-17,0,0.2,0,1.1,0.1,0,9,0.9,0,1,0,5,0.05
113,10581,"male",4,1,105,10586,15,3,0.210253259493252,5,1.34164078649987,6,0.512877886492283,1,0.0962962962962963,1,1,0,0,5,1.34164078649987,9,2.20765922467915,NA,-1.00972833903168,0.777686803518321,0,0.5,0.3,0.6,0.5,0.9,1,0.1,0,0,1,10,0.107447478991597
113,10581,"male",4,0,105,10586,15,3,0.210253259493252,5,1.34164078649987,6,0.512877886492283,1,0.0962962962962963,1,1,0,0,5,1.34164078649987,9,2.20765922467915,NA,-1.00972833903168,0.777686803518321,0,0.5,0.3,0.6,0.5,0.9,1,0.1,0,0,1,10,0.107447478991597
114,10553,"female",2,0,105,10533,14,0,-0.788449723099696,1,-1.34164078649987,9,1.42644162180666,3.99461012671687e-17,0,0,0,0,0,2,-0.670820393249937,0,-0.788449723099696,NA,-0.70520709392689,1.34401297775004e-17,0,0.1,0,0.9,0.2,0,2,0.2,1,1,0,5,0.0658914728682172
114,10553,"female",6,1,105,10559,14,0,-0.788449723099696,1,-1.34164078649987,9,1.42644162180666,3.99461012671687e-17,0,1,1,0,0,1,-1.34164078649987,0,-0.788449723099696,NA,-0.70520709392689,3.4025323729596e-17,0,0.1,0,0.9,0.1,0,2,0.2,1,1,1,5,0.0933333333333334
115,10838,"female",3,1,108,10814,16,0,-0.693294691388099,7,0.0105528670805282,20,1.56312269916367,0.0895117447099755,0.00166433566433566,1,1,0,0,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.269230769230769,0,0.769230769230769,0.269230769230769,0,7,0.269230769230769,1,1,1,5,0.166031746031746
115,10838,"female",1,0,108,10824,16,0,-0.693294691388099,7,0.0105528670805282,20,1.56312269916367,0.0895117447099755,0.00166433566433566,4,0,0,0,8,0.316586012415849,12,1.30064375987685,NA,-0.993111790070151,0.853149940485931,0.0135927601809955,0.269230769230769,0,0.769230769230769,0.307692307692308,0.461538461538462,5,0.192307692307692,1,1,0,5,0.253968253968254
116,10813,"female",4,0,108,10837,16,7,0.469836071849786,7,0.0105528670805282,6,-0.822696157454563,0.453144174067862,0.053216600393071,3,1,0,1,8,0.316586012415849,0,-0.693294691388099,NA,2.24478522962602,0.0700613669020096,0,0.269230769230769,0.269230769230769,0.230769230769231,0.307692307692308,0,24,0.923076923076923,0,1,0,5,0.156666666666667
116,10813,"female",5,1,108,10814,16,7,0.469836071849786,7,0.0105528670805282,6,-0.822696157454563,0.453144174067862,0.053216600393071,1,1,0,1,7,0.0105528670805282,0,-0.693294691388099,NA,-0.652280524838975,0.168580884131445,0.0486896632778986,0.269230769230769,0.269230769230769,0.230769230769231,0.269230769230769,0,7,0.269230769230769,0,1,1,5,0
